Name,Population,Germinated,GA_treated
CM100,CM,Yes,No
CM101,CM,Yes,No
CM102,CM,Yes,No
CM103,CM,Yes,No
CM104,CM,Yes,No
CM105,CM,Yes,No
CM106,CM,No,No
CM108,CM,Yes,No
CM109,CM,Yes,No
CM110,CM,Yes,No
CM121,CM,Yes,No
CM70,CM,Yes,No
CM77,CM,Yes,No
CM80,CM,Yes,No
CM81,CM,Yes,No
CM83,CM,Yes,No
CM85,CM,Yes,No
CM87,CM,No,No
CM88,CM,No,No
CM89,CM,Yes,No
CM90,CM,Yes,No
CM91,CM,Yes,No
CM94,CM,Yes,No
CM95,CM,Yes,No
CM96,CM,Yes,No
CMG10,CMG,No,No
CMG11,CMG,Yes,No
CMG12,CMG,No,No
CMG13,CMG,No,No
CMG19,CMG,No,No
CMG6,CMG,No,No
CMG7,CMG,Yes,No
CMG8,CMG,Yes,No
CMG9,CMG,Yes,No
OD1,OD,Yes,No
OD10,OD,Yes,No
OD11,OD,No,No
OD12,OD,Yes,No
OD14,OD,Yes,No
OD15,OD,Yes,No
OD16,OD,Yes,No
OD17,OD,No,No
OD18,OD,No,No
OD3,OD,Yes,No
OD7,OD,No,No
OD9,OD,Yes,No
ODG1,ODG,Yes,No
ODG11,ODG,No,No
ODG12,ODG,No,No
ODG14,ODG,No,No
ODG15,ODG,Yes,No
ODG16,ODG,Yes,No
ODG17,ODG,Yes,No
ODG18,ODG,Yes,No
ODG19,ODG,Yes,No
ODG2,ODG,Yes,No
ODG3,ODG,No,No
ODG3(B),ODG,Yes,No
ODG4,ODG,Yes,No
ODG5,ODG,Yes,No
ODG6,ODG,No,No
ODG8,ODG,Yes,No
ODG9,ODG,Yes,No
ODW1,ODW,No,No
ODW10,ODW,No,No
ODW11,ODW,Yes,No
ODW13,ODW,Yes,No
ODW17,ODW,No,No
ODW20,ODW,No,No
ODW21,ODW,No,No
ODW22,ODW,No,No
ODW23,ODW,No,No
ODW26,ODW,Yes,No
ODW27,ODW,No,No
ODW28,ODW,No,No
ODW3,ODW,Yes,No
ODW30,ODW,No,No
ODW31,ODW,No,No
ODW33,ODW,No,No
ODW34,ODW,No,No
ODW35,ODW,Yes,No
ODW36,ODW,No,No
ODW37,ODW,Yes,No
ODW38,ODW,Yes,No
ODW4,ODW,Yes,No
ODW40,ODW,Yes,No
ODW41,ODW,Yes,No
ODW42,ODW,Yes,No
ODW43,ODW,No,No
ODW44,ODW,No,No
ODW45,ODW,No,No
ODW46,ODW,Yes,No
ODW47,ODW,Yes,No
ODW48,ODW,Yes,No
ODW5,ODW,Yes,No
ODW50,ODW,No,No
ODW52,ODW,No,No
ODW7,ODW,Yes,No
ODW8,ODW,Yes,No
ODW9,ODW,No,No
ODWD1,ODWD,Yes,No
ODWD10,ODWD,Yes,No
ODWD11,ODWD,Yes,No
ODWD4,ODWD,Yes,No
ODWD5,ODWD,Yes,No
ODWD6,ODWD,Yes,No
ODWD7,ODWD,Yes,No
ODWD8,ODWD,No,No
ODWD9,ODWD,Yes,No
ODWG1,ODWG,Yes,No
ODWG10,ODWG,Yes,No
ODWG5,ODWG,No,No
ODWG6,ODWG,No,No
ODWG7,ODWG,No,No
ODWG9,ODWG,No,No
CM104,CM,Yes,Yes
CM87,CM,No,Yes
CM88,CM,No,Yes
CMG10,CMG,No,Yes
CMG12,CMG,No,Yes
CMG13,CMG,No,Yes
CMG6,CMG,No,Yes
ODW1,ODW,No,Yes
ODW21,ODW,No,Yes
ODW23,ODW,No,Yes
ODW27,ODW,No,Yes
ODW28,ODW,Yes,Yes
ODW31,ODW,No,Yes
ODW33,ODW,No,Yes
ODW34,ODW,Yes,Yes
ODW36,ODW,Yes,Yes
ODW43,ODW,Yes,Yes
ODW44,ODW,No,Yes
ODW45,ODW,Yes,Yes
ODW50,ODW,No,Yes
ODW52,ODW,No,Yes
ODW9,ODW,Yes,Yes
ODWG5,ODWG,No,Yes
ODWG6,ODWG,No,Yes
Q.S.1.5.9,Quarry,No,No
Q.S.11.4.5,Quarry,No,No
Q.S.11.5.2,Quarry,No,No
Q.S.12.1.3,Quarry,No,No
Q.S.13.5.4,Quarry,No,No
Q.S.14.1.9,Quarry,No,No
Q.S.17.5.4,Quarry,No,No
Q.S.18.1.2,Quarry,No,No
Q.S.2.1.5,Quarry,No,No
Q.S.2.5.7,Quarry,No,No
Q.S.20.1.8,Quarry,No,No
Q.S.22.3.3,Quarry,No,No
Q.S.26.1.3,Quarry,No,No
Q.S.26.1.5,Quarry,No,No
Q.S.4.5.10,Quarry,No,No
Q.S.7.3.10,Quarry,No,No
Q.S.7.3.11,Quarry,No,No
Q.S.7.3.3,Quarry,No,No
Q.S.7.3.9,Quarry,No,No
Q.S.9.5.10,Quarry,No,No
Q.S.P.1.8,Quarry,No,No
Q.S.SE.1.9,Quarry,No,No
Q.S.1.5.9,Quarry,No,Yes
Q.S.11.4.5,Quarry,No,Yes
Q.S.11.5.2,Quarry,No,Yes
Q.S.12.1.3,Quarry,No,Yes
Q.S.13.5.4,Quarry,No,Yes
Q.S.14.1.9,Quarry,No,Yes
Q.S.17.5.4,Quarry,No,Yes
Q.S.18.1.2,Quarry,No,Yes
Q.S.2.1.5,Quarry,No,Yes
Q.S.2.5.7,Quarry,No,Yes
Q.S.20.1.8,Quarry,No,Yes
Q.S.22.3.3,Quarry,No,Yes
Q.S.26.1.3,Quarry,No,Yes
Q.S.26.1.5,Quarry,No,Yes
Q.S.4.5.10,Quarry,No,Yes
Q.S.7.3.10,Quarry,No,Yes
Q.S.7.3.11,Quarry,No,Yes
Q.S.7.3.3,Quarry,No,Yes
Q.S.7.3.9,Quarry,No,Yes
Q.S.9.5.10,Quarry,No,Yes
Q.S.P.1.8,Quarry,No,Yes
Q.S.SE.1.9,Quarry,No,Yes
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
